CARPETA|Numero de documentos|Nombres de documentos|Número de documentos de tipo video|Nombre de documentos de tipo video|Tamaño (bytes)|Tamaño (legible)|Formato de video|Tamaño VIDEO_TS (bytes)|Tamaño VIDEO_TS (legible)|Numero de subcarpetas|Nombre de subcarpetas
Clouds of Sils Maria 2014|3|Clouds of Sils Maria 2014 1080p BRRip x264 DTS-JYK.srt; ._Clouds of Sils Maria 2014 1080p BRRip x264 DTS-JYK.srt; Clouds of Sils Maria 2014 720p WEB-DL 999MB-MMKV.mkv|1|Clouds of Sils Maria 2014 720p WEB-DL 999MB-MMKV.mkv|1047520941|999.0 MB|mkv|||0|
Coffee and Cigarettes III [1993] US Jarmusch|1|Coffee and Cigarettes III [1993] US Jarmusch.avi|1|Coffee and Cigarettes III [1993] US Jarmusch.avi|146294408|139.5 MB|avi|||0|
Coraline [2009] US Henry Selick|1|Coraline VOS.avi|1|Coraline VOS.avi|732192768|698.3 MB|avi|||0|
Corpo Celeste|1|Corpo Celeste (2011).ita.sub.eng.MIRcrew.srt|0|||||||0|
Corpo Celeste (2011)|3|Corpo Celeste (2011).ita.sub.eng.MIRcrew.avi; Corpo Celeste (2011).ita.sub.eng.MIRcrew.eng.idx; Corpo Celeste (2011).ita.sub.eng.MIRcrew.eng.sub|1|Corpo Celeste (2011).ita.sub.eng.MIRcrew.avi|1565550592|1.5 GB|avi|||0|
Cosmopolis [2012] CA David Cronenberg|3|l-cosmopolis.xvid.avi; l-cosmopolis.xvid.nfo; Torrent Downloaded From ExtraTorrent.com.txt|1|l-cosmopolis.xvid.avi|733964288|700.0 MB|avi|||1|Proof
Crack-Up - Reis 1946|3|Crack-Up - Reis 1946.avi; ._Crack-Up - Reis 1946.avi; Crack-Up - Reis 1946.srt|2|Crack-Up - Reis 1946.avi; ._Crack-Up - Reis 1946.avi|1386039296; 4096|1.3 GB; 4.0 KB|avi|||0|
Crash [1996] CA David Cronenberg|2|Crash.(1996).David.Cronenberg.avi; Tracked_by_Demonoid_com.txt|1|Crash.(1996).David.Cronenberg.avi|734754816|700.7 MB|avi|||0|
Crossroads - Conway 1942|3|Crossroads - Conway 1942.avi; ._Crossroads - Conway 1942.avi; Crossroads - Conway 1942.srt|2|Crossroads - Conway 1942.avi; ._Crossroads - Conway 1942.avi|1139503958; 4096|1.1 GB; 4.0 KB|avi|||0|
Cry Baby [1990] US John Waters|1|ewdp-crybaby.xvid.avi|1|ewdp-crybaby.xvid.avi|732495872|698.6 MB|avi|||2|Sample; Subs
Cuando Pasan Las Cigueñas - Kalatozov 1957|3|Cuando Pasan Las Cigueñas - Kalatozov 1957.avi; ._Cuando Pasan Las Cigueñas - Kalatozov 1957.avi; Cuando Pasan Las Cigueñas - Kalatozov 1957.srt|2|Cuando Pasan Las Cigueñas - Kalatozov 1957.avi; ._Cuando Pasan Las Cigueñas - Kalatozov 1957.avi|734033920; 4096|700.0 MB; 4.0 KB|avi|||0|
Céline et Julie vont en bateau [1974] FR Jacques Rivette|3|Céline.et.Julie.vont.en.bateau.(cd1)[J.Rivette-VOSE).mpg; Céline.et.Julie.vont.en.bateau.(cd2)[J.Rivette-VOSE).avi; ._Céline.et.Julie.vont.en.bateau.(cd2)[J.Rivette-VOSE).avi|3|Céline.et.Julie.vont.en.bateau.(cd1)[J.Rivette-VOSE).mpg; Céline.et.Julie.vont.en.bateau.(cd2)[J.Rivette-VOSE).avi; ._Céline.et.Julie.vont.en.bateau.(cd2)[J.Rivette-VOSE).avi|1370632192; 790425600; 4096|1.3 GB; 753.8 MB; 4.0 KB|avi; mpg|||0|
Dancer in the Dark [2000] DEN Lars Von Trier|1|Dancer In The Dark.avi|1|Dancer In The Dark.avi|756103168|721.1 MB|avi|||0|
Das Kabinett des Doktor Caligari [1920] GER Robert Wiene|2|Kabinett des Doktor Caligari, Das (1920).avi; Kabinett des Doktor Caligari, Das (1920).srt|1|Kabinett des Doktor Caligari, Das (1920).avi|733548544|699.6 MB|avi|||0|
De man die zijn haar kort liet knippen - Delvaux 1966|2|De man die zijn haar kort liet knippen - Delvaux 1966.avi; ._De man die zijn haar kort liet knippen - Delvaux 1966.avi|2|De man die zijn haar kort liet knippen - Delvaux 1966.avi; ._De man die zijn haar kort liet knippen - Delvaux 1966.avi|583102464; 4096|556.1 MB; 4.0 KB|avi|||0|
Dead Ringers [1988] CA David Cronenberg|3|dead.ringers-KARiNA.nfo; dead.ringers.cd1-KARiNA.avi; dead.ringers.cd2-KARiNA.avi|2|dead.ringers.cd1-KARiNA.avi; dead.ringers.cd2-KARiNA.avi|747206872; 725296440|712.6 MB; 691.7 MB|avi|||0|
Deep Valley - Negulesco 1947|3|Deep Valley - Negulesco 1947.avi; ._Deep Valley - Negulesco 1947.avi; Deep Valley - Negulesco 1947.srt|2|Deep Valley - Negulesco 1947.avi; ._Deep Valley - Negulesco 1947.avi|1316403200; 4096|1.2 GB; 4.0 KB|avi|||0|
Der Gang in die Nacht - Murnau 1921|2|Der Gang in die Nacht - Murnau 1921.avi; ._Der Gang in die Nacht - Murnau 1921.avi|2|Der Gang in die Nacht - Murnau 1921.avi; ._Der Gang in die Nacht - Murnau 1921.avi|909076000; 4096|867.0 MB; 4.0 KB|avi|||0|
Despair - Fassbinder 1978|3|Despair - Fassbinder 1978.avi; ._Despair - Fassbinder 1978.avi; Despair - Fassbinder 1978.srt|2|Despair - Fassbinder 1978.avi; ._Despair - Fassbinder 1978.avi|1464721408; 4096|1.4 GB; 4.0 KB|avi|||0|
Desperate Living [1977] US John Waters|2|Desperate Living ENG.srt; John Waters - (1977) Desperate Living.avi|1|John Waters - (1977) Desperate Living.avi|723204096|689.7 MB|avi|||0|
Despicable Me (2010)|2|Despicable.Me.2010.1080p.BluRay.x264.YIFY.mp4; Despicable.Me.2010.1080p.BluRay.x264.YIFY.srt|1|Despicable.Me.2010.1080p.BluRay.x264.YIFY.mp4|1549051178|1.4 GB|mp4|||0|
Despicable Me 2 [2013] US Pierre Coffin & Chris Renaud|1|Despicable.Me.2.2013.1080p.BluRay.x264.YIFY.mp4|1|Despicable.Me.2.2013.1080p.BluRay.x264.YIFY.mp4|1553988533|1.4 GB|mp4|||0|
Dial 1119 - Mayer 1950|3|Dial 1119 - Mayer 1950.avi; ._Dial 1119 - Mayer 1950.avi; Dial 1119 - Mayer 1950.srt|2|Dial 1119 - Mayer 1950.avi; ._Dial 1119 - Mayer 1950.avi|1033277440; 4096|985.4 MB; 4.0 KB|avi|||0|
Die Freudlose Gasse - Pabst 1925|2|Die Freudlose Gasse - Pabst 1925.avi; ._Die Freudlose Gasse - Pabst 1925.avi|2|Die Freudlose Gasse - Pabst 1925.avi; ._Die Freudlose Gasse - Pabst 1925.avi|733938226; 4096|699.9 MB; 4.0 KB|avi|||0|
Die Welle [2008]|2|Die Welle[2008]DvDrip[Ger]-FXG.avi; Die Welle[Eng][Subs].srt|1|Die Welle[2008]DvDrip[Ger]-FXG.avi|734140416|700.1 MB|avi|||0|
