CARPETA|Numero de documentos|Nombres de documentos|Número de documentos de tipo video|Nombre de documentos de tipo video|Tamaño (bytes)|Tamaño (legible)|Formato de video|Tamaño VIDEO_TS (bytes)|Tamaño VIDEO_TS (legible)|Numero de subcarpetas|Nombre de subcarpetas
Noviembre [2003] ES|3|Noviembre-Fran├ºais-SubRip.srt; ._Noviembre-Fran├ºais-SubRip.srt; Noviembre.DVD-Rip.Xvid-Mp3.Spanish.avi|1|Noviembre.DVD-Rip.Xvid-Mp3.Spanish.avi|735410176|701.3 MB|avi|||0|
Nymphomaniac. Volumen 1 [2013] DEN Lars Von Trier|3|Nymphomaniac.Vol.I.2013.LIMITED.1080p.BluRay.x264.anoXmous_.mp4; Nymphomaniac.Vol.I.2013.LIMITED.1080p.BluRay.x264.anoXmous_eng.srt; Nymphomaniac.Vol.I.2013.LIMITED.1080p.BluRay.x264.anoXmous_swe.srt|1|Nymphomaniac.Vol.I.2013.LIMITED.1080p.BluRay.x264.anoXmous_.mp4|2336518739|2.2 GB|mp4|||0|
Nymphomaniac. Volumen2 [2013] DEN Lars Von Trier|3|Nymphomaniac.Vol.II.2013.LIMITED.1080p.BluRay.x264.anoXmous_.mp4; Nymphomaniac.Vol.II.2013.LIMITED.1080p.BluRay.x264.anoXmous_eng.srt; Nymphomaniac.Vol.II.2013.LIMITED.1080p.BluRay.x264.anoXmous_swe.srt|1|Nymphomaniac.Vol.II.2013.LIMITED.1080p.BluRay.x264.anoXmous_.mp4|2455740359|2.3 GB|mp4|||0|
Occident [2002] Cristian Mungiu|2|Occidente - Mungiu 2002.avi; Occidente - Mungiu 2002.srt|1|Occidente - Mungiu 2002.avi|728274944|694.5 MB|avi|||0|
Otto e mezzo|2|Otto e mezzo - Fellini 1963.avi; Otto e mezzo - Fellini 1963.srt|1|Otto e mezzo - Fellini 1963.avi|1469052928|1.4 GB|avi|||0|
Out of the fog - Litvak 1941|2|Out of the fog - Litvak 1941.avi; Out of the fog - Litvak 1941.srt|1|Out of the fog - Litvak 1941.avi|943738880|900.0 MB|avi|||0|
Oz the Great and Powerful [2013] US Sam Raimi|2|Oz.the.Great.and.Powerful.2013.720p.BluRay.x264.YIFY.mp4; Oz.the.Great.and.Powerful.2013.720p.BluRay.x264.YIFY.srt|1|Oz.the.Great.and.Powerful.2013.720p.BluRay.x264.YIFY.mp4|971766040|926.7 MB|mp4|||0|
Pasaje a la India|3|A.Passage.to.India.1984.avi; A.Passage.to.India.1984.srt; ._A.Passage.to.India.1984.srt|1|A.Passage.to.India.1984.avi|2017007802|1.9 GB|avi|||0|
Paths of Glory [1957] US Stanley Kubrick|3|Senderos de gloria.(1957).(DVDRip.Divx.Dual).www.lokotorrents.com.avi; Senderos de gloria.(1957).(DVDRip.Divx.Dual).www.lokotorrents.com.ESP.srt; Senderos de gloria.(1957).(DVDRip.Divx.Dual).www.lokotorrents.com.ING.srt|1|Senderos de gloria.(1957).(DVDRip.Divx.Dual).www.lokotorrents.com.avi|737038336|702.9 MB|avi|||0|
Pepi, Luci, Bom y otras chicas del montón [1980] ES Pedro Almodovar|1|Pepi, Luci, Bom Y Otras Chicas Del Monton.avi|1|Pepi, Luci, Bom Y Otras Chicas Del Monton.avi|721541120|688.1 MB|avi|||0|
Pink Flamingos [1972] US John Waters|1|Pink Flamingos (John Waters, 1972).avi|1|Pink Flamingos (John Waters, 1972).avi|734758912|700.7 MB|avi|||0|
Pixar Short Films Collection Volume 1 [2007]|14|01 - The Adventures of Andre and Wally B (1984).mkv; 02 - Luxo Jr. (1986).mkv; 03 - Red's Dream (1987).mkv; 04 - Tin Toy (1988).mkv; 05 - Knick Knack - Remastered (1989).mkv; 06 - Geri's Game (1997).mkv; 07 - For the Birds (2000).mkv; 08 - Mike's New Car (2002).mkv; 09 - Boundin' (2003).mkv; 10 - Jack-Jack Attack (2005).mkv; 11 - One Man Band (2005).mkv; 12 - Mater and the Ghostlight (2006).mkv; 13 - Lifted (2006).mkv; info.txt|13|01 - The Adventures of Andre and Wally B (1984).mkv; 02 - Luxo Jr. (1986).mkv; 03 - Red's Dream (1987).mkv; 04 - Tin Toy (1988).mkv; 05 - Knick Knack - Remastered (1989).mkv; 06 - Geri's Game (1997).mkv; 07 - For the Birds (2000).mkv; 08 - Mike's New Car (2002).mkv; 09 - Boundin' (2003).mkv; 10 - Jack-Jack Attack (2005).mkv; 11 - One Man Band (2005).mkv; 12 - Mater and the Ghostlight (2006).mkv; 13 - Lifted (2006).mkv|83177313; 108718221; 125408527; 249669043; 127990154; 172256584; 293025368; 241726588; 417600487; 253434130; 204308738; 449012483; 149803583|79.3 MB; 103.7 MB; 119.6 MB; 238.1 MB; 122.1 MB; 164.3 MB; 279.5 MB; 230.5 MB; 398.3 MB; 241.7 MB; 194.8 MB; 428.2 MB; 142.9 MB|mkv|||0|
Pixar Short Films Collection Volume 2 [2012]|0||0|||||||13|01 - Your Friend The Rat (2007) ENG-ITA-COMM; 02 - Presto (2008) No-Lang - Comm; 03 - BURN-E (2008) ENG-ITA-Comm; 04 - Partly Cloudy (2009) No-Lang - Comm; 05 - Dug's Special Mission (2009) ENG-ITA-Comm; 06 - George And A. J. (2009) ENG-Comm; 07 - Day & Night (2010) ENG-ITA-Comm; 08 - La Luna (2001) No-Lang - Comm; 09 - Hawaiian Vacation (2011) ENG-ITA-Comm; 10 - Air Mater (2011) ENG-ITA-Comm; 11 - Small Fry (2011) ENG-ITA-Comm; 12 - Time Travel Mater (2012) ENG-ITA-Comm; Extras
Plan 9 from outer space [1959] US Ed Wood (AKA Edward D. Wood Jr.)|1|Plan 9 from outer space.avi|1|Plan 9 from outer space.avi|726673408|693.0 MB|avi|||0|
Plunder Road - Cornfield 1957|3|Plunder Road - Cornfield 1957.mpg; Plunder Road - Cornfield 1957.srt; ._Plunder Road - Cornfield 1957.srt|1|Plunder Road - Cornfield 1957.mpg|1195800576|1.1 GB|mpg|||0|
Pola X|4|Pola X.avi; ._Pola X.avi; Pola X.srt; ._Pola X.srt|2|Pola X.avi; ._Pola X.avi|738213888; 4096|704.0 MB; 4.0 KB|avi|||0|
Polyester [1981] US John Waters|2|John Waters-Polyester.avi; John Waters-Polyester.srt|1|John Waters-Polyester.avi|722841600|689.4 MB|avi|||0|
Prima della rivoluzione|3|Bernardo Bertolucci - Prima Della Rivoluzione - 1964.avi; ._Bernardo Bertolucci - Prima Della Rivoluzione - 1964.avi; Bernardo Bertolucci - Prima Della Rivoluzione - 1964.srt|2|Bernardo Bertolucci - Prima Della Rivoluzione - 1964.avi; ._Bernardo Bertolucci - Prima Della Rivoluzione - 1964.avi|733802496; 4096|699.8 MB; 4.0 KB|avi|||0|
Private Hell 36 - Siegel 1954|3|Private Hell 36 - Siegel 1954.avi; ._Private Hell 36 - Siegel 1954.avi; Private Hell 36 - Siegel 1954.srt|2|Private Hell 36 - Siegel 1954.avi; ._Private Hell 36 - Siegel 1954.avi|768712704; 4096|733.1 MB; 4.0 KB|avi|||0|
Pulp Fiction [1994] US Quentin Tarantino|2|Pulp.Fiction.1994.1080p.BrRip.x264.YIFY.mp4; Pulp.Fiction.1994.1080p.BrRip.x264.YIFY.srt|1|Pulp.Fiction.1994.1080p.BrRip.x264.YIFY.mp4|1506594302|1.4 GB|mp4|||0|
Que la bête meure|4|Que la bête meure.avi; ._Que la bête meure.avi; Que la bête meure.srt; ._Que la bête meure.srt|2|Que la bête meure.avi; ._Que la bête meure.avi|1543841792; 4096|1.4 GB; 4.0 KB|avi|||0|
Quelques jours avec moi|2|Quelques jours avec moi.avi; ._Quelques jours avec moi.avi|2|Quelques jours avec moi.avi; ._Quelques jours avec moi.avi|808456142; 4096|771.0 MB; 4.0 KB|avi|||0|
Quicksand - Pichel 1950|2|Quicksand - Pichel 1950.avi; Quicksand - Pichel 1950.srt|1|Quicksand - Pichel 1950.avi|1254455296|1.2 GB|avi|||0|
Quien teme Virginia Woolf|4|Quien teme a Virginia Woolf (DVDRip Xvid MP3 Dual) (CentralClasico.Com).By.KaNyO.avi; ._Quien teme a Virginia Woolf (DVDRip Xvid MP3 Dual) (CentralClasico.Com).By.KaNyO.avi; Quien teme a Virginia Woolf (DVDRip Xvid MP3 Dual) (CentralClasico.Com).By.KaNyO.srt; ._Quien teme a Virginia Woolf (DVDRip Xvid MP3 Dual) (CentralClasico.Com).By.KaNyO.srt|2|Quien teme a Virginia Woolf (DVDRip Xvid MP3 Dual) (CentralClasico.Com).By.KaNyO.avi; ._Quien teme a Virginia Woolf (DVDRip Xvid MP3 Dual) (CentralClasico.Com).By.KaNyO.avi|1667016704; 4096|1.6 GB; 4.0 KB|avi|||0|
Ratatouille [2007] US Brad Bird|1|Ratatouille FR.avi|1|Ratatouille FR.avi|733749248|699.8 MB|avi|||0|
Rent [2005] US Chris Columbus|3|Rent (2005).mp4; Rent.srt; ._Rent.srt|1|Rent (2005).mp4|1001530670|955.1 MB|mp4|||0|
Repulsion [1965] UK Roman Polanski|3|Repulsion.1965.BDRip.H264.AAC.Gopo.mp4; Repulsion.1965.BDRip.H264.AAC.Gopo.srt; Repulsion.1965.BDRip.H264.AAC.Gopo_EN.srt|1|Repulsion.1965.BDRip.H264.AAC.Gopo.mp4|1936577667|1.8 GB|mp4|||0|
Reservoir Dogs [1992] US Quentin Tarantino|2|Reservoir Dogs.1992.BluRay.720p.x264.YIFY.mp4; Reservoir Dogs.1992.BluRay.720p.x264.YIFY.srt|1|Reservoir Dogs.1992.BluRay.720p.x264.YIFY.mp4|670250196|639.2 MB|mp4|||0|
Ride the Pink Horse - Montgomery 1947|4|Ride the Pink Horse - Montgomery 1947.avi; ._Ride the Pink Horse - Montgomery 1947.avi; Ride the Pink Horse - Montgomery 1947.srt; ._Ride the Pink Horse - Montgomery 1947.srt|2|Ride the Pink Horse - Montgomery 1947.avi; ._Ride the Pink Horse - Montgomery 1947.avi|1441093632; 4096|1.3 GB; 4.0 KB|avi|||0|
Riff-raff - Tetzlaff 1947|2|Riff-raff - Tetzlaff 1947.avi; ._Riff-raff - Tetzlaff 1947.avi|2|Riff-raff - Tetzlaff 1947.avi; ._Riff-raff - Tetzlaff 1947.avi|838891520; 4096|800.0 MB; 4.0 KB|avi|||0|
Roadblock - Daniels 1951|3|Roadblock - Daniels 1951.avi; ._Roadblock - Daniels 1951.avi; Roadblock - Daniels 1951.srt|2|Roadblock - Daniels 1951.avi; ._Roadblock - Daniels 1951.avi|733413756; 4096|699.4 MB; 4.0 KB|avi|||0|
Salmo Rojo - Még Kér A Nép|3|Salmo Rojo - Még Kér A Nép - Red Psalm (Miklós Jancsó, 1972).avi; ._Salmo Rojo - Még Kér A Nép - Red Psalm (Miklós Jancsó, 1972).avi; Salmo Rojo - Még Kér A Nép - Red Psalm (Miklós Jancsó, 1972).srt|2|Salmo Rojo - Még Kér A Nép - Red Psalm (Miklós Jancsó, 1972).avi; ._Salmo Rojo - Még Kér A Nép - Red Psalm (Miklós Jancsó, 1972).avi|733689856; 4096|699.7 MB; 4.0 KB|avi|||0|
Salò o le 120 giornate di Sodoma [1975] IT Pier Paolo Pasolini|3|Pasolini-Salð e le 120 giornate di Sodoma - SPA.srt; ._Pasolini-Salð e le 120 giornate di Sodoma - SPA.srt; Pier Paolo Pasolini - Salò o le 120 giornate di Sodoma [DVDRip by MTPower® - XVID - AC3 2ch].avi|1|Pier Paolo Pasolini - Salò o le 120 giornate di Sodoma [DVDRip by MTPower® - XVID - AC3 2ch].avi|953626624|909.4 MB|avi|||0|
Samurai.Rebelión|2|Samurai.Rebellion.1967.DVDRiP.SpanishSUB.[kuintus].avi; ._Samurai.Rebellion.1967.DVDRiP.SpanishSUB.[kuintus].avi|2|Samurai.Rebellion.1967.DVDRiP.SpanishSUB.[kuintus].avi; ._Samurai.Rebellion.1967.DVDRiP.SpanishSUB.[kuintus].avi|1501372416; 4096|1.4 GB; 4.0 KB|avi|||0|
SAW|3|Saw I.avi; Saw I FR.srt; Saw I.srt|1|Saw I.avi|731314176|697.4 MB|avi|||0|
Saw II|2|Saw II.srt; Saw II.avi|1|Saw II.avi|734101504|700.1 MB|avi|||0|
Saw III|2|Saw III.srt; Saw III.avi|1|Saw III.avi|736043008|701.9 MB|avi|||0|
Saw IV|2|Saw IV.srt; Saw IV.avi|1|Saw IV.avi|734105600|700.1 MB|avi|||0|
Saw V|2|Saw V.avi; Saw V.srt|1|Saw V.avi|734867456|700.8 MB|avi|||0|
Schwarzfahrer [1993] DE Danquart|2|Danquart 1993 - Schwarzfahrer.srt; Danquart 1993 - Schwarzfahrer.avi|1|Danquart 1993 - Schwarzfahrer.avi|119444670|113.9 MB|avi|||0|
Sedmikrásky (Daisies) [1966] CESK Vera Chytilová|2|Las margaritas - Chytilová 1966 VOS ES.avi; ._Las margaritas - Chytilová 1966 VOS ES.avi|2|Las margaritas - Chytilová 1966 VOS ES.avi; ._Las margaritas - Chytilová 1966 VOS ES.avi|727919632; 4096|694.2 MB; 4.0 KB|avi|||0|
Seven Psychopaths [2012] UK Martin McDonagh|3|Seven Psychopaths - McDonagh 2012 DUAL.avi; ._Seven Psychopaths - McDonagh 2012 DUAL.avi; Seven Psychopaths - McDonagh 2012 ES.srt|2|Seven Psychopaths - McDonagh 2012 DUAL.avi; ._Seven Psychopaths - McDonagh 2012 DUAL.avi|1960495104; 4096|1.8 GB; 4.0 KB|avi|||0|
Shack Out on 101 - Dein 1955|4|_Shack Out on 101 - Dein 1955.avi; .__Shack Out on 101 - Dein 1955.avi; _Shack Out on 101 - Dein 1955.srt; .__Shack Out on 101 - Dein 1955.srt|2|_Shack Out on 101 - Dein 1955.avi; .__Shack Out on 101 - Dein 1955.avi|772446208; 4096|736.7 MB; 4.0 KB|avi|||0|
Sleepy Hollow|1|Sleepy Hollow (DVDRip Spanish XviD 1.1)(SEDG).avi|1|Sleepy Hollow (DVDRip Spanish XviD 1.1)(SEDG).avi|733970432|700.0 MB|avi|||0|
So red the rose -  Scott 1935|1|So red the rose -  Scott 1935.avi|1|So red the rose -  Scott 1935.avi|1005561856|959.0 MB|avi|||0|
Some Like It Hot [1959] US Billy Wilder|2|Some.Like.It.Hot.1959.Criterion.1080p.BluRay.x265.HEVC.FLAC-SARTRE.mkv; info.txt|1|Some.Like.It.Hot.1959.Criterion.1080p.BluRay.x265.HEVC.FLAC-SARTRE.mkv|8581333837|8.0 GB|mkv|||1|extras
Soy Cuba|5|Soy Cuba - 1964.avi; ._Soy Cuba - 1964.avi; Soy Cuba - 1964.srt; ._Soy Cuba - 1964.srt; ._Soy Cuba - O Mamute Siberiano - Ferraz 2005.avi|3|Soy Cuba - 1964.avi; ._Soy Cuba - 1964.avi; ._Soy Cuba - O Mamute Siberiano - Ferraz 2005.avi|2151331980; 4096; 4096|2.0 GB; 4.0 KB; 4.0 KB|avi|||0|
Split Second - Powel 1953|2|Split Second - Powel 1953.avi; Split Second - Powel 1953.srt|1|Split Second - Powel 1953.avi|769507328|733.9 MB|avi|||0|
Srpski film (A Serbian Film) [2010] SER Srdjan Spasojevic|2|A Serbian Film (2010) Uncut BRRip Xvid AC3-Anarchy.avi; A Serbian Film (2010) Uncut BRRip Xvid AC3-Anarchy.srt|1|A Serbian Film (2010) Uncut BRRip Xvid AC3-Anarchy.avi|859201536|819.4 MB|avi|||0|
Star Wars Prequel Trilogy (1999-2005)|0||0|||||||3|Star Wars Episode I The Phantom Menace (1999); Star Wars Episode II Attack Of the Clones (2002); Star Wars Episode III Revenge Of The Sith (2005)
Star Wars Trilogy (The Original Unaltered Trilogy)|12|Star Wars - Episode IV - A New Hope.jpg; Star Wars - Episode V - The Empire Strikes Back.jpg; Star Wars - Episode VI - The Return Of The Jedi.jpg; Star Wars Episode IV - A New Hope.avi; Star Wars Episode IV - A New Hope.srt; ._Star Wars Episode IV - A New Hope.srt; Star Wars Episode V - The Empire Strikes Back.avi; Star Wars Episode V - The Empire Strikes Back.srt; ._Star Wars Episode V - The Empire Strikes Back.srt; Star Wars Episode VI - Return Of The Jedi.avi; Star Wars Episode VI - Return Of The Jedi.srt; ._Star Wars Episode VI - Return Of The Jedi.srt|3|Star Wars Episode IV - A New Hope.avi; Star Wars Episode V - The Empire Strikes Back.avi; Star Wars Episode VI - Return Of The Jedi.avi|2141708288; 2141771776; 2141929472|2.0 GB; 2.0 GB; 2.0 GB|avi|||0|
Storm Warning - Geisler 1951|3|Storm Warning - Geisler 1951.avi; ._Storm Warning - Geisler 1951.avi; Storm Warning - Geisler 1951.srt|2|Storm Warning - Geisler 1951.avi; ._Storm Warning - Geisler 1951.avi|1407031296; 4096|1.3 GB; 4.0 KB|avi|||0|
Strange Impersonation - Mann 1946|4|Strange Impersonation - Mann 1946.avi; ._Strange Impersonation - Mann 1946.avi; Strange Impersonation - Mann 1946.srt; ._Strange Impersonation - Mann 1946.srt|2|Strange Impersonation - Mann 1946.avi; ._Strange Impersonation - Mann 1946.avi|682575980; 4096|651.0 MB; 4.0 KB|avi|||0|
Suna no onna|2|Suna no onna.avi; ._Suna no onna.avi|2|Suna no onna.avi; ._Suna no onna.avi|1442476124; 4096|1.3 GB; 4.0 KB|avi|||0|
Swimming Pool [2003] FR François Ozon|2|Swimming Pool.mpg; Swimming Pool.srt|1|Swimming Pool.mpg|1575751680|1.5 GB|mpg|||0|
Sátántangó|5|SATANTANGO (1994) 1-BELA TARR.avi; SATANTANGO (1994) 2-BELA TARR.avi; SATANTANGO (1994) 3-BELA TARR.avi; SATANTANGO (COMPLETO-1994)-BELA TARR-SPAN.SUBT.Jvicla.rar; ._SATANTANGO (COMPLETO-1994)-BELA TARR-SPAN.SUBT.Jvicla.rar|3|SATANTANGO (1994) 1-BELA TARR.avi; SATANTANGO (1994) 2-BELA TARR.avi; SATANTANGO (1994) 3-BELA TARR.avi|1373167616; 1224376320; 1466601472|1.3 GB; 1.1 GB; 1.4 GB|avi|||0|
Tacones Lejanos [1991] ES Pedro Almodovar|3|1991 Tacones lejanos (697,4 Mo).srt; Tacones lejanos.avi; Talons aiguilles fr.srt|1|Tacones lejanos.avi|783042560|746.8 MB|avi|||0|
Tangled [2010] US Nathan Greno|3|Tangled.2010.1080p.BluRay.x264-CtrlHD.english-sdh.srt; ._Tangled.2010.1080p.BluRay.x264-CtrlHD.english-sdh.srt; Tangled.2010.1080p.BluRay.x264.YIFY.mp4|1|Tangled.2010.1080p.BluRay.x264.YIFY.mp4|1545647447|1.4 GB|mp4|||0|
Tengoku to Jigoku (High and Low) [1963] JAP Akira Kurosawa|4|El infierno del odio.avi; El infierno del odio.srt; High.and.Low.1963.CRITERION.Bluray.srt; ._High.and.Low.1963.CRITERION.Bluray.srt|1|El infierno del odio.avi|2185381888|2.0 GB|avi|||0|
Tension - Berry 1949|3|Tension - Berry 1949.avi; ._Tension - Berry 1949.avi; Tension - Berry 1949.srt|2|Tension - Berry 1949.avi; ._Tension - Berry 1949.avi|735086592; 4096|701.0 MB; 4.0 KB|avi|||0|
The 13Th Letter - Preminger 1951|3|The 13Th Letter - Preminger 1951.avi; ._The 13Th Letter - Preminger 1951.avi; The 13Th Letter - Preminger 1951.srt|2|The 13Th Letter - Preminger 1951.avi; ._The 13Th Letter - Preminger 1951.avi|732808676; 4096|698.9 MB; 4.0 KB|avi|||0|
The Accused - Dieterle 1949|2|The Accused - Dieterle 1949.avi; ._The Accused - Dieterle 1949.avi|2|The Accused - Dieterle 1949.avi; ._The Accused - Dieterle 1949.avi|887568384; 4096|846.5 MB; 4.0 KB|avi|||0|
The Adventures of Baron Munchausen [1988] UK Terry Gilliam|3|The.Adventures.of.Baron.Munchausen.1988.1080p.BluRay.DTS.x264-hV.ENG.srt; ._The.Adventures.of.Baron.Munchausen.1988.1080p.BluRay.DTS.x264-hV.ENG.srt; The.Adventures.of.Baron.Munchausen.1988.1080p.BluRay.x264.YIFY.mp4|1|The.Adventures.of.Baron.Munchausen.1988.1080p.BluRay.x264.YIFY.mp4|2089450179|1.9 GB|mp4|||0|
The Angel's Share [2012] UK Ken Loach|2|Dreamfilm.se.txt; The.Angels.Share.2012.SWESUB.BRRip.XVID-DaET.avi|1|The.Angels.Share.2012.SWESUB.BRRip.XVID-DaET.avi|738222080|704.0 MB|avi|||0|
The Avengers [2012] USA Joss Whedon|2|The Avengers.DVDRIP.avi; The Avengers.DVDRIP.srt|1|The Avengers.DVDRIP.avi|1215184741|1.1 GB|avi|||0|
The Best Years of Our Lives|4|The Best Years of Our Lives - Wyler 1946.avi; ._The Best Years of Our Lives - Wyler 1946.avi; The Best Years of Our Lives - Wyler 1946.srt; ._The Best Years of Our Lives - Wyler 1946.srt|2|The Best Years of Our Lives - Wyler 1946.avi; ._The Best Years of Our Lives - Wyler 1946.avi|1567682560; 4096|1.5 GB; 4.0 KB|avi|||0|
The Big Shot - Sailer 1942|2|The Big Shot - Sailer 1942.mpg; The Big Shot - Sailer 1942.srt|1|The Big Shot - Sailer 1942.mpg|1249945600|1.2 GB|mpg|||0|
The boss - Haskin 1956|2|The boss - Haskin 1956.avi; ._The boss - Haskin 1956.avi|2|The boss - Haskin 1956.avi; ._The boss - Haskin 1956.avi|895053824; 4096|853.6 MB; 4.0 KB|avi|||0|
The Brood [1979] CA David Cronenberg|3|Sample.avi; The Brood (1979) [DVDRip] [KooKoo].avi; The Brood.srt|2|Sample.avi; The Brood (1979) [DVDRip] [KooKoo].avi|16760832; 942049280|16.0 MB; 898.4 MB|avi|||1|Subtitles
The Brothers Grimm [2005] UK Terry Gilliam|3|The.Brothers.Grimm.2005.1080p.BluRay.x264.anoXmous_.mp4; The.Brothers.Grimm.2005.1080p.BluRay.x264.anoXmous_eng.srt; The.Brothers.Grimm.2005.1080p.BluRay.x264.anoXmous_swe.srt|1|The.Brothers.Grimm.2005.1080p.BluRay.x264.anoXmous_.mp4|2200199659|2.0 GB|mp4|||0|
The corn is green - El trigo está verde Rapper, Irving (1945) En+Es sub|1|Rapper, Irving  The corn is green - El trigo está verde (1945) En+Es sub [emule].avi|1|Rapper, Irving  The corn is green - El trigo está verde (1945) En+Es sub [emule].avi|1489176166|1.4 GB|avi|||0|
The Darjeeling Limited [2007] US Wes Anderson|4|i.nfo; The.Darjeeling.Limited.2007.720p.BluRay.x264.anoXmous_.mp4; The.Darjeeling.Limited.2007.720p.BluRay.x264.anoXmous_eng.srt; The.Darjeeling.Limited.2007.720p.BluRay.x264.anoXmous_swe.srt|1|The.Darjeeling.Limited.2007.720p.BluRay.x264.anoXmous_.mp4|1607516505|1.5 GB|mp4|||0|
The Devil Thumbs a Ride - Feist 1947|2|The Devil Thumbs a Ride - Feist 1947.avi; The Devil Thumbs a Ride - Feist 1947.srt|1|The Devil Thumbs a Ride - Feist 1947.avi|843659264|804.6 MB|avi|||0|
The Devils [1971] UK Ken Russell|4|rb-td.srt; The Devils.1971.US Cut. Spanish.srt; The Devils.srt; The.Devils.1971.DVDRip.XviD-4P2P.avi|1|The.Devils.1971.DVDRip.XviD-4P2P.avi|1568372736|1.5 GB|avi|||0|
The Dreamers [2003] UK Bernardo Bertolucci|4|The Dreamers [Uncut NC-17] (2003) [720p] x264 - Jalucian.mp4; The Dreamers [Uncut NC-17] (2003) [720p] x264 - Jalucian.srt; The Dreamers [Uncut NC-17] (2003) [720p] x264 - Jalucian.txt; The Dreamers [Uncut NC-17].jpg|1|The Dreamers [Uncut NC-17] (2003) [720p] x264 - Jalucian.mp4|999207237|952.9 MB|mp4|||0|
The Element Of Crime [1984] DEN Lars Von Trier|4|The Element of Crime.avi; The Element of Crime.esp.srt; The Element of Crime.ptb.srt; The Element of Crime.srt|1|The Element of Crime.avi|1468540928|1.4 GB|avi|||0|
The Fall [2006] IN Tarsem Singh|1|The Fall. El sueño de Alejandría. VOS.avi|1|The Fall. El sueño de Alejandría. VOS.avi|734238720|700.2 MB|avi|||0|
The file on Thelma Jordon - Siodmak 1950|4|The file on Thelma Jordon - Siodmak 1950.avi; ._The file on Thelma Jordon - Siodmak 1950.avi; The file on Thelma Jordon - Siodmak 1950.srt; ._The file on Thelma Jordon - Siodmak 1950.srt|2|The file on Thelma Jordon - Siodmak 1950.avi; ._The file on Thelma Jordon - Siodmak 1950.avi|1149749248; 4096|1.1 GB; 4.0 KB|avi|||0|
The Fly [1986] US David Cronenberg|2|The Fly.avi; The Fly.jpg|1|The Fly.avi|734273536|700.3 MB|avi|||2|Subtitles; Plex Versions
The Gay Sisters -1942 Irving Rapper VOS Español|2|The Gay Sisters -1942 Irving Rapper- (Barbara Stanwyck, George Brent, Geraldine Fitzgerald).english.avi; The Gay Sisters -1942 Irving Rapper- (Barbara Stanwyck, George Brent, Geraldine Fitzgerald).english.srt|1|The Gay Sisters -1942 Irving Rapper- (Barbara Stanwyck, George Brent, Geraldine Fitzgerald).english.avi|1258467328|1.2 GB|avi|||0|
The Girl in the News [1940] UK Carol Reed|2|Girl in the News - Reed 1940.avi; Girl in the News - Reed 1940.srt|1|Girl in the News - Reed 1940.avi|942968832|899.3 MB|avi|||0|
The Golden Compass [2007] US Chris Weitz|3|The Golden Compass[Eng][Subs].en.srt; ._The Golden Compass[Eng][Subs].en.srt; The.Golden.Compass.2007.720p.BluRay.x264.YIFY.mp4|1|The.Golden.Compass.2007.720p.BluRay.x264.YIFY.mp4|852331473|812.8 MB|mp4|||0|
The Grand Budapest Hotel [2014] US Wes Anderson|3|The.Grand.Budapest.Hotel.2014.1080p.BluRay.x264.DTS-WiKi.srt; ._The.Grand.Budapest.Hotel.2014.1080p.BluRay.x264.DTS-WiKi.srt; The.Grand.Budapest.Hotel.2014.1080p.BluRay.x264.YIFY.mp4|1|The.Grand.Budapest.Hotel.2014.1080p.BluRay.x264.YIFY.mp4|1554822306|1.4 GB|mp4|||0|
The Great Moment [1944] Preston Sturges US|3|The Great Moment - Sturges 1944.avi; ._The Great Moment - Sturges 1944.avi; The Great Moment - Sturges 1944.srt|2|The Great Moment - Sturges 1944.avi; ._The Great Moment - Sturges 1944.avi|734013440; 4096|700.0 MB; 4.0 KB|avi|||0|
The Hasty Heart|2|The Hasty Heart - Sherman 1949.avi; The Hasty Heart - Sherman 1949.srt|1|The Hasty Heart - Sherman 1949.avi|730898432|697.0 MB|avi|||0|
The Hatched Man [1932] US William A. Wellman|1|The Hatched Man - Wellman 1932.avi|1|The Hatched Man - Wellman 1932.avi|734750584|700.7 MB|avi|||0|
The Hobbit An Unexpected Journey (2012) [1080p]|3|The.Hobbit.An.Unexpected.Journey.2012.1080p.BRrip.x264.GAZ.YIFY-spa.srt; The.Hobbit.An.Unexpected.Journey.2012.1080p.BRrip.x264.GAZ.YIFY.mp4; The.Hobbit.An.Unexpected.Journey.2012.1080p.BRrip.x264.GAZ.YIFY.srt|1|The.Hobbit.An.Unexpected.Journey.2012.1080p.BRrip.x264.GAZ.YIFY.mp4|2684228434|2.5 GB|mp4|||0|
The Houston Story - The Houston story 1956|3|The Houston Story - The Houston story 1956.mpg; The Houston Story - The Houston story 1956.srt; ._The Houston Story - The Houston story 1956.srt|1|The Houston Story - The Houston story 1956.mpg|1336567808|1.2 GB|mpg|||0|
The Human Centipede (First Sequence) [2009] NED Tom Six|2|d-the.human.centipede-xvid.avi; d-the.human.centipede-xvid.srt|1|d-the.human.centipede-xvid.avi|734113792|700.1 MB|avi|||0|
The Human Centipede 2 (Full Sequence) [2011] NED Tom Six|2|The Human Centipede 2_2011_DvdRip_vose(Desmiembros.blogspot.com).avi; The.Human.Centipede.II.Full.Sequence.2011.VODRiP.XviD-SiC.srt|1|The Human Centipede 2_2011_DvdRip_vose(Desmiembros.blogspot.com).avi|1469433702|1.4 GB|avi|||0|
